symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SH510010,510010,SH,180治理ETF交银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:57+08:00,1.76,225,39516.0,229722944,229722944,2026-08-10
SH510020,510020,SH,超大盘ETF博时,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:59+08:00,3.966,5119,2026674.0,142173168,142173168,2026-08-10
SH510030,510030,SH,价值ETF华宝,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:49+08:00,1.037,7736,803090.0,158899303,158899303,2026-08-10
SH510040,510040,SH,上证180ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:49+08:00,1.18,2523,296962.0,35966400,35966400,2026-08-10
SH510050,510050,SH,上证50ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,3.046,1689678,513777317.0,21768746927,21768746927,2026-08-10
SH510060,510060,SH,央企ETF工银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,2.598,246,63938.0,90824002,90824002,2026-08-10
SH510090,510090,SH,责任ETF建信,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:07+08:00,2.524,1881,474390.0,64566696,64566696,2026-08-10
SH510100,510100,SH,上证50ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:55+08:00,2.996,316826,94802446.0,2962165573,2962165573,2026-08-10
SH510130,510130,SH,上证中盘ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:06+08:00,7.406,1541,1141975.0,230216251,230216251,2026-08-10
SH510140,510140,SH,上证综指ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:52+08:00,1.019,77441,7866308.0,97039880,97039880,2026-08-10
SH510150,510150,SH,消费ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,0.515,331663,17124184.0,1479686983,1479686983,2026-08-10
SH510160,510160,SH,产业升级ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:01+08:00,0.901,2893,260967.0,173043717,173043717,2026-08-10
SH510170,510170,SH,大宗商品ETF国联安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:08+08:00,1.397,76761,10723270.0,467875976,467875976,2026-08-10
SH510180,510180,SH,上证180ETF华安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:46+08:00,4.024,36245,14569128.0,17776252426,17776252426,2026-08-10
SH510190,510190,SH,上证50ETF华安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:13+08:00,4.348,213,92449.0,102833678,102833678,2026-08-10
SH510200,510200,SH,上证券商ETF汇安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:58+08:00,1.185,5943,702879.0,181761818,181761818,2026-08-10
SH510210,510210,SH,上证指数ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.008,3222124,323823312.0,16734002246,16734002246,2026-08-10
SH510230,510230,SH,金融ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:11+08:00,1.288,382345,49321623.0,820208704,820208704,2026-08-10
SH510270,510270,SH,国企ETF中银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:02+08:00,1.543,2746,423867.0,22885930,22885930,2026-08-10
SH510290,510290,SH,上证380ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:55+08:00,2.695,10689,2870945.0,152129786,152129786,2026-08-10
SH510300,510300,SH,沪深300ETF华泰柏瑞,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,4.751,2484610,1177786662.0,117940191072,117940191072,2026-08-10
SH510310,510310,SH,沪深300ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,4.613,370282,170435292.0,53140579072,53140579072,2026-08-10
SH510320,510320,SH,沪深300ETF中金,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,1.276,52131,6641226.0,805243401,805243401,2026-08-10
SH510330,510330,SH,沪深300ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,4.955,260248,128539144.0,43187035402,43187035402,2026-08-10
