symbol,record_date,ex_date,cash_payment_date,cash_dividend_per_old_share,share_ratio,fractional_share_treatment,event_id,source_url,source_sha256
SH510020,2012-12-14,2012-12-14,2012-12-14,0.0,0.1,unknown_not_provided_by_sina_hfq,SH510020~2012-12-14,https://finance.sina.com.cn/realstock/company/sh510020/hfq.js,94ac706fbb5a9c17837aa0272727572a54e507908af38d0fcff645dd292c7c52
SH510030,2021-06-21,2021-06-21,2021-06-21,0.0,8.00037281,unknown_not_provided_by_sina_hfq,SH510030~2021-06-21,https://finance.sina.com.cn/realstock/company/sh510030/hfq.js,3a2ad5af07974bfd2d890347711c69316a92c31cf7ab55cbe7b2950cc9c6cc6d
SH510050,2006-05-19,2006-05-19,2006-05-19,0.024,1.0,not_applicable_no_share_change,SH510050~2006-05-19,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2006-11-16,2006-11-16,2006-11-16,0.037,1.0,not_applicable_no_share_change,SH510050~2006-11-16,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2008-11-19,2008-11-19,2008-11-19,0.06,1.0,not_applicable_no_share_change,SH510050~2008-11-19,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2010-11-16,2010-11-16,2010-11-16,0.0259999999999999,1.0,not_applicable_no_share_change,SH510050~2010-11-16,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2012-05-16,2012-05-16,2012-05-16,0.011,1.0,not_applicable_no_share_change,SH510050~2012-05-16,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2012-11-13,2012-11-13,2012-11-13,0.037,1.0,not_applicable_no_share_change,SH510050~2012-11-13,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2013-11-15,2013-11-15,2013-11-15,0.0529999999999999,1.0,not_applicable_no_share_change,SH510050~2013-11-15,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
SH510050,2014-11-17,2014-11-17,2014-11-17,0.0429999999999999,1.0,not_applicable_no_share_change,SH510050~2014-11-17,https://finance.sina.com.cn/realstock/company/sh510050/hfq.js,e187e503a8718f9309254ba7952a1fb69310a6fe8ee463618656ac00d156cf7c
