symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SH510010,510010,SH,180治理ETF交银,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:49+08:00,1.766,483,85810.0,230506090,230506090,2026-08-11
SH510020,510020,SH,超大盘ETF博时,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:50+08:00,3.968,2762,1103260.0,142244864,142244864,2026-08-11
SH510030,510030,SH,价值ETF华宝,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:41+08:00,1.042,35784,3741597.0,159665452,159665452,2026-08-11
SH510040,510040,SH,上证180ETF鹏华,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:48+08:00,1.177,11409,1353710.0,38228960,38228960,2026-08-11
SH510050,510050,SH,上证50ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:55+08:00,3.039,3779044,1153111352.0,20600064846,20600064846,2026-08-11
SH510060,510060,SH,央企ETF工银,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:46+08:00,2.607,416,109018.0,91138634,91138634,2026-08-11
SH510090,510090,SH,责任ETF建信,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:43+08:00,2.528,1888,480245.0,64669021,64669021,2026-08-11
SH510100,510100,SH,上证50ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:47+08:00,2.989,1070801,321815588.0,2898752525,2898752525,2026-08-11
SH510130,510130,SH,上证中盘ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:56+08:00,7.41,2704,2015231.0,230340591,230340591,2026-08-11
SH510140,510140,SH,上证综指ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:44+08:00,1.01,83832,8508436.0,99212805,99212805,2026-08-11
SH510150,510150,SH,消费ETF招商,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T16:11:49+08:00,0.518,875693,45534148.0,1504882519,1504882519,2026-08-11
