symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SH510010,510010,,,,,,,,,,,,,
SH510020,510020,,,,,,,,,,,,,
SH510030,510030,,,,,,,,,,,,,
SH510040,510040,,,,,,,,,,,,,
SH510050,510050,,,,,,,,,,,,,
SH510060,510060,,,,,,,,,,,,,
SH510090,510090,,,,,,,,,,,,,
SH510100,510100,,,,,,,,,,,,,
SH510130,510130,,,,,,,,,,,,,
SH510140,510140,,,,,,,,,,,,,
SH510150,510150,,,,,,,,,,,,,
SH510160,510160,,,,,,,,,,,,,
SH510170,510170,,,,,,,,,,,,,
SH510180,510180,,,,,,,,,,,,,
SH510190,510190,,,,,,,,,,,,,
SH510200,510200,,,,,,,,,,,,,
SH510210,510210,,,,,,,,,,,,,
SH510270,510270,,,,,,,,,,,,,
SH510290,510290,,,,,,,,,,,,,
SH510300,510300,,,,,,,,,,,,,
SH510310,510310,,,,,,,,,,,,,
SH510320,510320,,,,,,,,,,,,,
SH510330,510330,,,,,,,,,,,,,
SH510350,510350,,,,,,,,,,,,,
SH510360,510360,,,,,,,,,,,,,
SH510370,510370,,,,,,,,,,,,,
SH510380,510380,,,,,,,,,,,,,
SH510390,510390,,,,,,,,,,,,,
SH510410,510410,,,,,,,,,,,,,
SH510500,510500,,,,,,,,,,,,,
SH510510,510510,,,,,,,,,,,,,
SH510530,510530,,,,,,,,,,,,,
SH510550,510550,,,,,,,,,,,,,
SH510560,510560,,,,,,,,,,,,,
SH510570,510570,,,,,,,,,,,,,
SH510580,510580,,,,,,,,,,,,,
SH510590,510590,,,,,,,,,,,,,
SH510600,510600,,,,,,,,,,,,,
SH510630,510630,,,,,,,,,,,,,
SH510650,510650,,,,,,,,,,,,,
SH510660,510660,,,,,,,,,,,,,
SH510670,510670,,,,,,,,,,,,,
SH510680,510680,,,,,,,,,,,,,
SH510710,510710,,,,,,,,,,,,,
SH510720,510720,,,,,,,,,,,,,
SH510760,510760,,,,,,,,,,,,,
SH510770,510770,,,,,,,,,,,,,
SH510800,510800,,,,,,,,,,,,,
SH510810,510810,,,,,,,,,,,,,
SH510850,510850,,,,,,,,,,,,,
SH510880,510880,,,,,,,,,,,,,
SH510910,510910,,,,,,,,,,,,,
SH510950,510950,,,,,,,,,,,,,
SH510980,510980,,,,,,,,,,,,,
SH510990,510990,,,,,,,,,,,,,
SH512000,512000,,,,,,,,,,,,,
SH512010,512010,,,,,,,,,,,,,
SH512020,512020,,,,,,,,,,,,,
SH512030,512030,,,,,,,,,,,,,
SH512040,512040,,,,,,,,,,,,,
SH512050,512050,,,,,,,,,,,,,
SH512060,512060,,,,,,,,,,,,,
SH512070,512070,,,,,,,,,,,,,
SH512080,512080,,,,,,,,,,,,,
SH512090,512090,,,,,,,,,,,,,
SH512120,512120,,,,,,,,,,,,,
SH512130,512130,,,,,,,,,,,,,
SH512140,512140,,,,,,,,,,,,,
SH512150,512150,,,,,,,,,,,,,
SH512160,512160,,,,,,,,,,,,,
SH512170,512170,,,,,,,,,,,,,
SH512180,512180,,,,,,,,,,,,,
SH512190,512190,,,,,,,,,,,,,
SH512200,512200,,,,,,,,,,,,,
SH512220,512220,,,,,,,,,,,,,
SH512240,512240,,,,,,,,,,,,,
SH512250,512250,,,,,,,,,,,,,
SH512260,512260,,,,,,,,,,,,,
SH512290,512290,,,,,,,,,,,,,
SH512330,512330,,,,,,,,,,,,,
SH512360,512360,,,,,,,,,,,,,
SH512370,512370,,,,,,,,,,,,,
SH512380,512380,,,,,,,,,,,,,
SH512390,512390,,,,,,,,,,,,,
SH512400,512400,,,,,,,,,,,,,
SH512410,512410,,,,,,,,,,,,,
SH512420,512420,,,,,,,,,,,,,
SH512430,512430,,,,,,,,,,,,,
SH512450,512450,,,,,,,,,,,,,
SH512460,512460,,,,,,,,,,,,,
SH512480,512480,,,,,,,,,,,,,
SH512500,512500,,,,,,,,,,,,,
SH512510,512510,,,,,,,,,,,,,
SH512520,512520,,,,,,,,,,,,,
SH512530,512530,,,,,,,,,,,,,
SH512550,512550,,,,,,,,,,,,,
